Lynch,Arnold,23
Murray,Douglas,29
Clark,Thornton,30
Schneider,Chambers,80
Ryan,Wilson,19
Wells,Schwartz,15
Berry,Silva,21
Garrett,Neal,17
Hughes,Bailey,13
Wong,Robinson,39
Pearson,Newman,35
Perkins,Bradley,7
Myers,Lynch,36
Mendoza,Peterson,12
Salazar,Ferguson,19
Mcdaniel,Stewart,101
Brown,Schmidt,8
Medina,Phillips,5
Schmidt,Ryan,22
Schmidt,Nguyen,41
Burton,Hoffman,15
Munoz,Chavez,13
Harrison,Olson,23
Douglas,Patterson,46
Spencer,Mendoza,52
Harris,Hayes,35
Richardson,Barnett,20
Hopkins,Maldonado,39
Bryant,Watts,55
Turner,Murphy,6
Carroll,Barnes,37
Frazier,Cooper,7
Bradley,Chambers,47
Stewart,Thornton,14
Padilla,Salazar,15
Nguyen,Gomez,21
Gibson,Norris,65
Spencer,Bryant,9
Robinson,Banks,57
Castillo,Nguyen,9
Day,Brooks,36
Olson,Green,6
Larson,Schmidt,369
Schmidt,Lucas,27
Ross,Lee,21
Graves,Bryant,38
Kim,Cunningham,6
Moreno,Schneider,7
Peterson,Lynch,32
Holland,Brewer,36
Ross,Arnold,59
Silva,Arnold,25
Price,Harris,38
Perez,Shelton,27
Gilbert,Murphy,15
Richards,Lopez,26
Leonard,Cox,32
Lopez,Dominguez,18
Ray,Mcdaniel,53
Graves,Rice,10
Lowe,Banks,8
Arnold,Miles,50
Mcdaniel,Murray,8
Ruiz,Wilson,24
Horton,Garrett,12
Carr,Little,9
Gomez,Henry,48
Gray,Brewer,15
Bush,Murray,17
Maldonado,Bush,8
Vega,Robertson,24
Barnes,Lee,15
Graves,Adams,7
Clark,Lambert,6
Walker,Flores,28
Cunningham,Freeman,11
Gonzales,Gibson,26
Garrett,Stanley,16
Schmidt,Vasquez,28
Hughes,Schneider,11
Armstrong,Neal,6
Reynolds,Wilson,24
Jacobs,Douglas,41
Reed,Chapman,10
Salazar,Peterson,10
Howell,Neal,33
Richardson,Mcdonald,28
Carlson,Walters,10
Pena,Brown,22
Simpson,George,5
Bryant,Turner,29
Guerrero,Lewis,11
Ferguson,Park,107
Bryant,Schmidt,31
Douglas,Jimenez,12
Caldwell,Jenkins,6
Lynch,Vasquez,13
Thornton,Johnson,13
Dunn,Black,29
Black,Freeman,11
Stewart,Barnett,9
Shaw,Lopez,5
Price,Lewis,23
Neal,Thomas,13
Lewis,Jenkins,6
Park,Cook,5
Carr,Salazar,16
Jackson,Vaughn,33
Reyes,Tran,8
Norris,Gonzales,128
Carlson,Myers,18
Stone,Vasquez,21
Murray,Watts,14
Stone,Lowe,51
Vasquez,Bell,32
Lowe,Allen,9
Webb,Garcia,12
Schneider,Garrett,15
Fuller,Torres,5
Turner,Jennings,16
Brown,Long,16
Harvey,Garcia,6
Gonzales,Nguyen,10
Gonzales,Bryant,8
Salazar,Carr,9
Newman,Arnold,56
Carroll,Ford,36
Douglas,Harvey,11
Schneider,Spencer,20
Allen,Banks,7
Vaughn,Jackson,24
Rios,Kim,9
Burns,Washington,7
Nguyen,Robinson,6
Warner,Cole,46
Lewis,Watts,19
Bush,Black,28
Estrada,Robinson,12
Warner,Shaw,7
Jennings,Turner,45
Carroll,Gonzales,10
Pierce,Schneider,112
Garcia,Webb,31
Vaughn,Shaw,55
Jordan,Nguyen,38
Graves,Webb,35
Lowe,Vasquez,8
Barker,Schwartz,6
Wilson,Garrett,10
Johnson,Maldonado,50
Lee,Lucas,54
Bryant,Patel,43
Bush,Gomez,9
Pearson,Johnson,20
Frazier,Little,78
Banks,Schneider,10
Nguyen,Ross,72
Wilson,Armstrong,37
Long,Ryan,39
Ramos,Warner,20
Hernandez,Lopez,63
Byrd,Sanchez,9
Chambers,Young,18
Bradley,Wheeler,5
Russell,Thornton,52
Diaz,Hill,10
Rios,Dunn,11
Owens,Webb,68
Castillo,Gibson,27
Wilson,Mcdaniel,12
Lambert,Fowler,5
Neal,Jordan,7
Hill,Bradley,66
Aguilar,Gomez,6
Carroll,Banks,76
Hughes,Moreno,10
Day,Armstrong,21
Lowe,Ferguson,13
Walters,Cooper,12
Jimenez,Frazier,29
Spencer,Douglas,57
Murphy,Russell,93
Rice,Chambers,59
Bradley,Little,37
Neal,Barnes,7
Moreno,Webb,49
Silva,Murphy,19
Howell,Banks,8
Barnes,Schneider,5
Nguyen,Henry,129
Byrd,Jackson,25
Bradley,Gibson,32
Salazar,Henry,102
Lee,Aguilar,18
Ryan,Ruiz,6
Medina,Santos,28
Armstrong,Lewis,26
Little,Hill,138
Robinson,Garrett,5
Graves,Haynes,16
Ferguson,Jacobs,7
Allen,Bishop,31
Gregory,Little,17
Rhodes,Olson,7
Steele,Reyes,12
Morrison,Ward,29
Newman,Black,16
Lee,Castillo,63
Clark,Stewart,7
Hill,Neal,6
Walters,Martin,92
Salazar,Larson,42
Chambers,Dean,70
Banks,Nelson,15
Carlson,Henry,8
Vasquez,Bush,16
Diaz,Henry,6
Frazier,Lee,63
Walters,Schneider,7
Wong,Lewis,18
Gonzales,Carroll,17
Hopkins,Lewis,32
Schwartz,Stanley,30
Hoffman,Gilbert,44
Larson,Armstrong,50
Guerrero,Schmidt,8
Walters,Norris,11
Green,Weber,20
Stanley,Martinez,26
Park,Gomez,8
Lee,Morris,7
Kim,Rios,25
Brown,Burke,35
Rice,Allen,13
Gomez,Howard,21
Watts,Vasquez,11
Walters,Griffin,22
Morris,Carroll,16
Thomas,Banks,26
Mcdaniel,Lewis,7
Welch,Mccoy,13
Douglas,Webb,9
Reyes,Jennings,13
Little,Barnes,7
Garrett,Howell,34
Peterson,Carroll,10
Frazier,Flores,28
Elliott,Dean,13
Watts,Long,26
Hughes,Munoz,29
Henry,Carlson,31
Park,Bryant,7
Chambers,Norris,5
Webb,Hunt,34
Norris,Jordan,26
Perkins,Norris,26
Chambers,Robertson,28
Burton,Lambert,22
